group_key,example_uttid,missing_texts,missing_count,total_segments,asr_result_raw_example
"ASR-A&""-""&D","ASR-A520&""-""&D520",['| 那你就是，你就是阿飘喽。'],1,1,"[{""asr_result"": ""那你就是你就是阿飘喽。"", ""start_time"": 1.0, ""end_time"": 3.228}]"
"Multiple_round_intent_unclear-A&""-""&D","Multiple_round_intent_unclear-A100&""-""&D100",['| 我不是让你说说答案的时候是 e、 a、 二二 b、 3C、 4D 在每个选项前加上数字吗？'],1,1,"[{""asr_result"": ""我不是让你说说答案的时候是，1A、 2B、 3C、 4D， 在每个选项前加上数字吗？"", ""start_time"": 1.0, ""end_time"": 10.709}]"
Obscured_narrative_v-session_-,Obscured_narrative_v2-session_1-1,['| 帮我看一下这本书定价多少元？'],1,1,"[{""asr_result"": ""帮我看一下这本书定价多少元？"", ""start_time"": 1.0, ""end_time"": 3.285}]"
Peace_Elite_back_-hpjy,Peace_Elite_back_1022-hpjy001,['| 我现在的位置距离卡车站有多远？能到吗？ |  | 卡车站跳了几个敌人？ |  | 帮我看看队友抽奖抽出什么空投枪了？ |  | 这个敌人的燃烧瓶也丢的太准了吧。 |  | 我手里这把枪用的是什么子弹？ |  | 这两人一起蹲墙角也太阴了吧。 |  | 我这个资源点是哪年新增的 |  | 这把MG3的皮肤叫什么来着 |  | 我开的这车叫什么名字？'],1,1,"[{""asr_result"": ""我现在的位置距离卡车站有多远？能到吗？"", ""start_time"": 1.0, ""end_time"": 4.155}, {""asr_result"": ""卡车站跳了几个敌人？"", ""start_time"": 5.155, ""end_time"": 6.96}, {""asr_result"": ""帮我看看队友抽奖抽出什么空投枪了？"", ""start_time"": 7.96, ""end_time"": 10.781}, {""asr_result"": ""这个敌人的燃烧瓶也丢的太准了吧！"", ""start_time"": 11.781, ""end_time"": 14.992}, {""asr_result"": ""我手里这把枪用的是什么子弹？"", ""start_time"": 15.992, ""end_time"": 18.22}, {""asr_result"": ""这两人一起蹲墙角也太阴了吧。"", ""start_time"": 19.22, ""end_time"": 21.902}, {""asr_result"": ""我这个资源点是哪年新增的？"", ""start_time"": 22.903, ""end_time"": 25.253}, {""asr_result"": ""这把 MG3 的皮肤叫什么来着？"", ""start_time"": 26.253, ""end_time"": 29.311}, {""asr_result"": ""我开的这车叫什么名字？"", ""start_time"": 30.311, ""end_time"": 32.206}]"
Self_awareness_v-session--,Self_awareness_v4-session-10-1,['| 你会唱你咖啡品味有多浓吗？'],1,1,"[{""asr_result"": ""你会唱《你咖啡品味有多浓》吗？"", ""start_time"": 1.0, ""end_time"": 3.484}]"
"action_missing-A&""-""&D","action_missing-A140&""-""&D140",['| 看看他，给我编个。'],1,1,"[{""asr_result"": ""看看他，给我编个"", ""start_time"": 1.0, ""end_time"": 2.499}]"
cfr_fullvideo_upload-,cfr_fullvideo_upload-133,['| 我想去看电影应该去几楼？ |  | 停车场在几楼？ |  | 这家商场一共有几楼？'],1,1,"[{""asr_result"": ""我想去看电影，应该去几楼？"", ""start_time"": 1.0, ""end_time"": 3.158}, {""asr_result"": ""停车场在几楼？"", ""start_time"": 4.158, ""end_time"": 5.458}, {""asr_result"": ""这家商场一共有几楼？"", ""start_time"": 6.458, ""end_time"": 8.402}]"
chat_intention_hard_result_fullvideo_upload_Sheet-v_多轮意图,chat_intention_hard_result_fullvideo_upload_Sheet1-v041_多轮意图,['| 哇，豆包，这个跑步机好大呀？ |  | 这个不适合放在家里吧？ |  | 晚上看到那个的话，我会被吓死。'],1,1,"[{""asr_result"": ""哇，豆包，这个跑步机好大呀！"", ""start_time"": 1.0, ""end_time"": 4.409}, {""asr_result"": ""这个不适合放在家里吧？"", ""start_time"": 5.409, ""end_time"": 7.511}, {""asr_result"": ""晚上看到那个的话，我会被吓死。"", ""start_time"": 8.511, ""end_time"": 11.306}]"
count_fullvideo_upload-,count_fullvideo_upload-12,['| 桌子上有几个笔记本？ |  | 桌上有几个牛奶？'],1,1,"[{""asr_result"": ""桌子上有几个笔记本？"", ""start_time"": 1.0, ""end_time"": 2.949}, {""asr_result"": ""桌上有几个牛奶？"", ""start_time"": 3.949, ""end_time"": 6.177}]"
doubao_Technology_exhibits-dbksj,doubao_Technology_exhibits-dbksj081,['| 好有意境啊，这个作品叫什么名字？ |  | 这个作品的创作者是谁？'],1,1,"[{""asr_result"": ""好有意境啊，这个作品叫什么名字？"", ""start_time"": 1.0, ""end_time"": 4.303}, {""asr_result"": ""这个作品的创作者是谁？"", ""start_time"": 5.303, ""end_time"": 7.589}]"
doubao_Technology_exhibits-gongkun,doubao_Technology_exhibits-gongkun09,['| 这个机器人叫什么名字? |  | 这个机器人在什么场合首次进入公众视野？ |  | 这个机器人预计售价是多少钱？ |  | 这个机器人的设计目标是什么？ |  | 这个机器人的制作公司是哪个国家的？ |  | 这个机器人是哪个公司开发的？ |  | 这个机器人截至2025年7月发表了哪几代？？ |  | 这个机器人身高有多高？'],1,1,"[{""asr_result"": ""这个机器人叫什么名字？"", ""start_time"": 1.0, ""end_time"": 2.945}, {""asr_result"": ""这个机器人在什么场合首次进入公众视野？"", ""start_time"": 3.945, ""end_time"": 7.743}, {""asr_result"": ""这个机器人预计售价是多少钱？"", ""start_time"": 8.743, ""end_time"": 11.291}, {""asr_result"": ""这个机器人的设计目标是什么？"", ""start_time"": 12.291, ""end_time"": 14.765}, {""asr_result"": ""这个机器人的制作公司是哪个国家的？"", ""start_time"": 15.765, ""end_time"": 18.764}, {""asr_result"": ""这个机器人是哪个公司开发的？"", ""start_time"": 19.764, ""end_time"": 22.188}, {""asr_result"": ""这个机器人截至 2025 年 7 月发表了哪几代？"", ""start_time"": 23.188, ""end_time"": 27.149}, {""asr_result"": ""这个机器人身高有多高？"", ""start_time"": 28.149, ""end_time"": 30.228}]"
doubao_Technology_exhibits-hhyy,doubao_Technology_exhibits-hhyy197,['| 这个导弹叫什么名字呀 |  | 它的首次展出时间是在什么时候呢？ |  | 这个导弹的发射方式采用了什么技术呢？ |  | 它的拦截目标是什么呢？'],1,1,"[{""asr_result"": ""这个导弹叫什么名字呀？"", ""start_time"": 1.0, ""end_time"": 2.894}, {""asr_result"": ""它的首次展出时间是在什么时候呢？"", ""start_time"": 3.894, ""end_time"": 7.002}, {""asr_result"": ""这个导弹的发射方式采用了什么技术呢？"", ""start_time"": 8.002, ""end_time"": 11.403}, {""asr_result"": ""他的拦截目标是什么呢？"", ""start_time"": 12.403, ""end_time"": 14.486}]"
doubao_Technology_exhibits-ssthcs,doubao_Technology_exhibits-ssthcs087,['| 这是什么机器啊？'],1,1,"[{""asr_result"": ""这是什么机器啊？"", ""start_time"": 1.0, ""end_time"": 2.548}]"
doubao_Technology_exhibits-ssthlwzb,doubao_Technology_exhibits-ssthlwzb315,['| 这是什么型号的驱逐舰？ |  | 这个驱逐舰是以哪个城市命名的？ |  | 这个驱逐舰是哪一年正式加入我国海军战斗序列的？ |  | 这个驱逐舰现服役于海军驱逐舰的第几支队？'],1,1,"[{""asr_result"": ""这是什么型号的驱逐舰？"", ""start_time"": 1.0, ""end_time"": 3.07}, {""asr_result"": ""这个驱逐舰是以哪个城市命名的？"", ""start_time"": 4.07, ""end_time"": 7.065}, {""asr_result"": ""这个驱逐舰是哪一年正式加入我国海军战斗序列的？"", ""start_time"": 8.065, ""end_time"": 12.546}, {""asr_result"": ""这个驱逐舰现服役于海军驱逐舰的第几支队？"", ""start_time"": 13.546, ""end_time"": 17.849}]"
doubao_Technology_exhibits-ssthzbv,doubao_Technology_exhibits-ssthzbv30296,['| 这个汽车品牌在6月份发布的车叫什么名字 |  | 最右边这个标志是什么意思呀'],1,1,"[{""asr_result"": ""这个汽车品牌在 6 月份发布的车叫什么名字？"", ""start_time"": 1.0, ""end_time"": 4.806}, {""asr_result"": ""最右边这个标志是什么意思呀？"", ""start_time"": 5.806, ""end_time"": 8.434}]"
doubao_Technology_exhibits-vidssth,doubao_Technology_exhibits-vidssth032,['| 这个对钩形状的logo是什么品牌？ |  | 我逛的这个商场叫什么名字？ |  | 前面两只小鹿logo的品牌的中文名字是什么？'],1,1,"[{""asr_result"": ""这个对勾形状的 LOGO 是什么品牌？"", ""start_time"": 1.0, ""end_time"": 3.602}, {""asr_result"": ""我逛的这个商场叫什么名字？"", ""start_time"": 4.602, ""end_time"": 6.714}, {""asr_result"": ""前面两只小鹿 LOGO 的品牌的中文名字是什么？"", ""start_time"": 7.714, ""end_time"": 12.037}]"
doubao_animals_and_plants_not_updated_video-hhyy,doubao_animals_and_plants_not_updated_video-hhyy168,['| 这是什么动物呀 |  | 这个动物属于什么属呢 |  | 它有几个亚种呢 |  | 这个动物是中国的几级保护野生动物呢 |  | 它主要分布在哪些省呢'],1,1,"[{""asr_result"": ""这是什么动物呀？"", ""start_time"": 1.0, ""end_time"": 2.635}, {""asr_result"": ""这个动物属于什么属呢？"", ""start_time"": 3.635, ""end_time"": 5.713}, {""asr_result"": ""它有几个亚种呢？"", ""start_time"": 6.713, ""end_time"": 8.346}, {""asr_result"": ""这个动物是中国的几级保护野生动物呢？"", ""start_time"": 9.346, ""end_time"": 13.226}, {""asr_result"": ""它主要分布在哪些省呢？"", ""start_time"": 14.226, ""end_time"": 16.293}]"
doubao_animals_and_plants_not_updated_video-lxsp,doubao_animals_and_plants_not_updated_video-lxsp0174,['| 正在抽烟的是啥动物？'],1,1,"[{""asr_result"": ""正在抽烟的是啥动物？"", ""start_time"": 1.0, ""end_time"": 2.898}]"
doubao_animals_and_plants_not_updated_video-ssthcs,doubao_animals_and_plants_not_updated_video-ssthcs264,['| 这是什么动物？'],1,1,"[{""asr_result"": ""这是什么动物？"", ""start_time"": 1.0, ""end_time"": 2.424}]"
doubao_animals_and_plants_not_updated_video-ssthlwzb,doubao_animals_and_plants_not_updated_video-ssthlwzb0018,['| 奥斯卡这个狗是什么品种？ |  | 呀，这个黑耳朵的狗是什么品种'],1,1,"[{""asr_result"": ""奥斯卡这个狗是什么品种？"", ""start_time"": 1.0, ""end_time"": 3.215}, {""asr_result"": ""这个黑耳朵的狗是什么品种？"", ""start_time"": 4.215, ""end_time"": 6.963}]"
doubao_animals_and_plants_not_updated_video-ssthlwzbx,doubao_animals_and_plants_not_updated_video-ssthlwzbx042,['| 好奇怪的长相呀，这是啥动物？ |  | 这是啥动物？好萌呀！ |  | 这是啥动物？有点像牛 |  | 这是什么鸟啊？'],1,1,"[{""asr_result"": ""好奇怪的长相呀，这是啥动物？"", ""start_time"": 1.0, ""end_time"": 4.104}, {""asr_result"": ""这是啥动物？好萌呀！"", ""start_time"": 5.104, ""end_time"": 7.882}, {""asr_result"": ""这是啥动物？有点像牛。"", ""start_time"": 8.882, ""end_time"": 11.442}, {""asr_result"": ""这是什么鸟啊？"", ""start_time"": 12.442, ""end_time"": 14.117}]"
doubao_animals_and_plants_not_updated_video-ssthzb,doubao_animals_and_plants_not_updated_video-ssthzb0119,['| 这个动物可以在水中呼吸吗？'],1,1,"[{""asr_result"": ""这个动物可以在水中呼吸吗？"", ""start_time"": 1.0, ""end_time"": 3.299}]"
doubao_animals_and_plants_not_updated_video-vidssth,doubao_animals_and_plants_not_updated_video-vidssth0114,['| 左边银色车上一盆一盆的是什么？ |  | 再看看我左前方那些长条状的是啥水果？ |  | 你知道我现在进入的这个地铁站叫什么名字吗？'],1,1,"[{""asr_result"": ""左边银色车上一盆一盆的是什么？"", ""start_time"": 1.0, ""end_time"": 4.284}, {""asr_result"": ""再看看我左前方那些长条状的是啥水果？"", ""start_time"": 5.284, ""end_time"": 9.183}, {""asr_result"": ""你知道我现在进入的这个地铁站叫什么名字吗？"", ""start_time"": 10.183, ""end_time"": 13.532}]"
doubao_artworks_and_crafts_video-dbksj-,doubao_artworks_and_crafts_video-dbksj049-1,['| 好精致呀，这是哪种金属材质的？'],1,1,"[{""asr_result"": ""好精致呀，这是哪种金属材质的？"", ""start_time"": 1.0, ""end_time"": 4.515}]"
doubao_artworks_and_crafts_video-gongkun-,doubao_artworks_and_crafts_video-gongkun06-3,['| 这幅画的作者属于哪个油画流派？'],1,1,"[{""asr_result"": ""这幅画的作者属于哪个油画流派？"", ""start_time"": 1.0, ""end_time"": 3.919}]"
doubao_artworks_and_crafts_video-hhyy-,doubao_artworks_and_crafts_video-hhyy190-1,['| 这幅画叫什么名字呀'],1,1,"[{""asr_result"": ""这幅画叫什么名字呀？"", ""start_time"": 1.0, ""end_time"": 3.099}]"
doubao_artworks_and_crafts_video-jingjing-,doubao_artworks_and_crafts_video-jingjing03-1,['| 这尊雕像现收藏于哪？'],1,1,"[{""asr_result"": ""这尊雕像现收藏于哪？"", ""start_time"": 1.0, ""end_time"": 3.277}]"
doubao_artworks_and_crafts_video-lxsp-,doubao_artworks_and_crafts_video-lxsp0166-1,['| 这个高大雕塑叫啥名字'],1,1,"[{""asr_result"": ""这个高大雕塑叫啥名字？"", ""start_time"": 1.0, ""end_time"": 3.485}]"
doubao_artworks_and_crafts_video-ssthcs-,doubao_artworks_and_crafts_video-ssthcs248-1,['| 这是什么民族的服饰呀？'],1,1,"[{""asr_result"": ""这是什么民族的服饰呀？"", ""start_time"": 1.0, ""end_time"": 2.905}]"
doubao_artworks_and_crafts_video-ssthlwzb-,doubao_artworks_and_crafts_video-ssthlwzb011-1,['| 这种形式的画，它的主要制作材料中，起到黏合作用的是哪种物质？'],1,1,"[{""asr_result"": ""这种形式的画，它的主要制作材料中起到粘合作用的是哪种物质？"", ""start_time"": 1.0, ""end_time"": 7.216}]"
doubao_artworks_and_crafts_video-ssthlwzbx-,doubao_artworks_and_crafts_video-ssthlwzbx062-1,['| 这个雕塑的名字叫什么？'],1,1,"[{""asr_result"": ""这个雕塑的名字叫什么？"", ""start_time"": 1.0, ""end_time"": 3.222}]"
doubao_artworks_and_crafts_video-ssthzbv-,doubao_artworks_and_crafts_video-ssthzbv10239-1,['| 这个男人穿的衣服是哪个品牌的'],1,1,"[{""asr_result"": ""这个男人穿的衣服是哪个品牌的？"", ""start_time"": 1.0, ""end_time"": 3.597}]"
doubao_artworks_and_crafts_video-vidssth-,doubao_artworks_and_crafts_video-vidssth036-3,['| 墙上是他画的哪副作品？'],1,1,"[{""asr_result"": ""墙上是他画的哪幅作品？"", ""start_time"": 1.0, ""end_time"": 3.301}]"
doubao_celebrity_video-dbdnksj,doubao_celebrity_video-dbdnksj1003,['| 这个故居哪位皇帝居住过 |  | 室内展览的主人公是从哪栋建筑搬过来的 |  | 和主人公闹离婚登报纸的人是谁 |  | 展览的主人公曾经在哪个军事法庭作为证人出席 |  | 展览的主人公最终在哪个城市去世的'],1,1,"[{""asr_result"": ""这个故居哪位皇帝居住过？"", ""start_time"": 1.0, ""end_time"": 3.626}, {""asr_result"": ""室内展览的主人公是从哪栋建筑搬过来的？"", ""start_time"": 4.626, ""end_time"": 8.027}, {""asr_result"": ""和主人公闹离婚登报纸的人是谁？"", ""start_time"": 9.027, ""end_time"": 11.767}, {""asr_result"": ""展览的主人公曾经在哪个军事法庭作为证人出席？"", ""start_time"": 12.767, ""end_time"": 16.971}, {""asr_result"": ""展览的主人公最终在哪个城市去世的？"", ""start_time"": 17.971, ""end_time"": 21.08}]"
doubao_celebrity_video-dbksj,doubao_celebrity_video-dbksj061,['| 这是谁？ |  | 出生在哪个城市？ |  | 他的第一首歌是什么？'],1,1,"[{""asr_result"": ""这是谁？"", ""start_time"": 1.0, ""end_time"": 1.9}, {""asr_result"": ""出生在哪个城市？"", ""start_time"": 2.9, ""end_time"": 4.325}, {""asr_result"": ""他的第一首歌是什么？"", ""start_time"": 5.325, ""end_time"": 7.037}]"
doubao_celebrity_video-hhyy,doubao_celebrity_video-hhyy160,['| 这个故居的主人是什么朝代的人呢？ |  | 他的出生日期是什么时候呢？ |  | 他是属于什么流派的诗人呢？ |  | 这个故居的主人是为了避什么乱事而入蜀来修建的呢 |  | 那这个故居又是在哪一年被公布为第一批全国重点文物保护单位的？ |  | 我准备8月底去玩，那这个月它的开放时间是什么时候？ |  | 门票价格是多少呢？'],1,1,"[{""asr_result"": ""这个故居的主人是什么朝代的人呢？"", ""start_time"": 1.0, ""end_time"": 4.403}, {""asr_result"": ""他的出生日期是什么时候呢？"", ""start_time"": 5.403, ""end_time"": 7.704}, {""asr_result"": ""他是属于什么流派的诗人呢？"", ""start_time"": 8.703, ""end_time"": 10.988}, {""asr_result"": ""这个故居的主人是为了避什么乱世而入蜀来修建的呢？"", ""start_time"": 11.988, ""end_time"": 16.898}, {""asr_result"": ""那这个故居又是在哪一年被公布为第一批全国重点文物保护单位的？"", ""start_time"": 17.898, ""end_time"": 23.708}, {""asr_result"": ""我准备 8 月底去玩，那这个月它的开放时间是什么时候？"", ""start_time"": 24.708, ""end_time"": 29.212}, {""asr_result"": ""门票价格是多少呢？"", ""start_time"": 30.212, ""end_time"": 32.223}]"
doubao_celebrity_video-jingjing,doubao_celebrity_video-jingjing10,['| 这是谁的雕像？ |  | 他逝世的时候享年多少岁呀？ |  | 这个雕像高多少米？ |  | 这个雕像哪一年建造的？ |  | 雕像位于哪个县？'],1,1,"[{""asr_result"": ""这是谁的雕像？"", ""start_time"": 1.0, ""end_time"": 2.425}, {""asr_result"": ""他逝世的时候享年多少岁啊？"", ""start_time"": 3.425, ""end_time"": 5.832}, {""asr_result"": ""这个雕像高多少米？"", ""start_time"": 6.832, ""end_time"": 8.326}, {""asr_result"": ""这个雕像哪一年建造的？"", ""start_time"": 9.326, ""end_time"": 11.214}, {""asr_result"": ""雕像位于哪个县？"", ""start_time"": 12.214, ""end_time"": 13.808}]"
doubao_celebrity_video-ssthlwzb,doubao_celebrity_video-ssthlwzb013,['| 这个纪念馆是为了纪念谁？ |  | 那这个被纪念的人，他是哪一年的进士？ |  | 他在哪一年被派去广东的？'],1,1,"[{""asr_result"": ""这个纪念馆是为了纪念谁？"", ""start_time"": 1.0, ""end_time"": 3.206}, {""asr_result"": ""那这个被纪念的人，他是哪一年的进士？"", ""start_time"": 4.206, ""end_time"": 7.716}, {""asr_result"": ""他在哪一年被派去广东的？"", ""start_time"": 8.716, ""end_time"": 10.782}]"
doubao_celebrity_video-ssthzb,doubao_celebrity_video-ssthzb0189,['| 嗨你好，你可以看出来他在模仿哪一位诗人吗？'],1,1,"[{""asr_result"": ""嗨，你好。你可以看出来他在模仿哪一位诗人吗？"", ""start_time"": 1.0, ""end_time"": 4.902}]"
doubao_chat_intention_result_fullvideo_upload_video-v_多轮意图,doubao_chat_intention_result_fullvideo_upload_video-v006_多轮意图,['| 我准备给好朋友一个生日礼物，你帮我通过我打开的图片告诉我这个礼物的优缺点。第一个礼物的优缺点是什么？ |  | 第二个礼物的优缺点。 |  | 这个呢？ |  | 这个。'],1,1,"[{""asr_result"": ""我准备给好朋友一个生日礼物，你帮我通过我打开的图片告诉我这个礼物的优缺点。第一个礼物的优缺点是什么？"", ""start_time"": 1.0, ""end_time"": 9.872}, {""asr_result"": ""第 2 个礼物的优缺点。"", ""start_time"": 10.872, ""end_time"": 12.628}, {""asr_result"": ""这个呢？"", ""start_time"": 13.628, ""end_time"": 14.428}, {""asr_result"": ""这个。"", ""start_time"": 15.428, ""end_time"": 16.98}]"
doubao_counterfactual_hard_result_fullvideo_video-v_反事实拒答,doubao_counterfactual_hard_result_fullvideo_video-v024_反事实拒答,['| 你看这个指压板它大概有多大？ |  | 你看这只铅笔，我用转笔刀削的怎么样，需不需要再把它削尖一点？'],1,1,"[{""asr_result"": ""你看这个指压板，它大概有多大？"", ""start_time"": 1.0, ""end_time"": 3.314}, {""asr_result"": ""你看这支铅笔，我用转笔刀削的怎么样？需不需要再把它削尖一点？"", ""start_time"": 4.314, ""end_time"": 9.476}]"
doubao_counterfactual_result_fullvideo_upload_video-v_反事实拒答,doubao_counterfactual_result_fullvideo_upload_video-v006_反事实拒答,['| 我想送给朋友一个生日礼物，你帮我看看是这个小狗的玩偶更可爱还是这个小猪的玩偶更可爱？ |  | 你帮我看一看这两个桃子，哪个更熟一点，更甜一点？ |  | 你看看窗外，今天的天气我穿什么出门比较合适？ |  | 鞋子呢，这两双鞋哪一个和我今天的衣服更搭？ |  | 我的朋友喜欢吃甜食，你能帮我想想晚上带她去吃什么菜比较好吗？'],1,1,"[{""asr_result"": ""我想送给朋友一个生日礼物，你帮我看看，是这个小狗的玩偶更可爱，还是这个小猪的玩偶更可爱？"", ""start_time"": 1.0, ""end_time"": 8.459}, {""asr_result"": ""你帮我看一看这两个桃子，哪个更熟一点，更甜一点？"", ""start_time"": 9.459, ""end_time"": 13.296}, {""asr_result"": ""你看看窗外，今天的天气我穿什么出门比较合适？"", ""start_time"": 14.296, ""end_time"": 18.109}, {""asr_result"": ""鞋子呢？这两双鞋哪一个和我今天的衣服更搭？"", ""start_time"": 19.109, ""end_time"": 23.222}, {""asr_result"": ""我的朋友喜欢吃甜食，你能帮我想想晚上带他去吃什么菜比较好吗？"", ""start_time"": 24.222, ""end_time"": 29.576}]"
doubao_delicacy_video-dbdnksj,doubao_delicacy_video-dbdnksj1602,['| 右边的肉是牛的哪个部位 |  | 这个贝壳形状的蛋糕叫什么名字'],1,1,"[{""asr_result"": ""右边的肉是牛的哪个部位？"", ""start_time"": 1.0, ""end_time"": 3.546}, {""asr_result"": """", ""start_time"": 4.546, ""end_time"": 7.253}]"
doubao_delicacy_video-dbksj,doubao_delicacy_video-dbksj024,['| 这是啥呀，看起来就很好吃'],1,1,"[{""asr_result"": ""这是啥呀？看起来就很好吃。"", ""start_time"": 1.0, ""end_time"": 3.807}]"
doubao_delicacy_video-hhyy,doubao_delicacy_video-hhyy181,['| 这是在制作什么食物呀？ |  | 那长沙地区的这种食物，它的主要制作食材是什么呀 |  | 它吃起来是什么口感呢？'],1,1,"[{""asr_result"": ""这是在制作什么食物呀？"", ""start_time"": 1.0, ""end_time"": 3.034}, {""asr_result"": ""那长沙地区的这种食物，它的主要制作食材是什么呀？"", ""start_time"": 4.034, ""end_time"": 8.5}, {""asr_result"": ""它吃起来是什么口感呢？"", ""start_time"": 9.5, ""end_time"": 11.511}]"
doubao_delicacy_video-ssthlwzb,doubao_delicacy_video-ssthlwzb303,['| 这个是在制作什么美食？ |  | 它的这个外皮是用什么为原料调和而成的？ |  | 这个小吃起源于哪个市？'],1,1,"[{""asr_result"": """", ""start_time"": 1.0, ""end_time"": 3.149}, {""asr_result"": ""它的这个外皮是用什么为原料调和而成的？"", ""start_time"": 4.149, ""end_time"": 7.646}, {""asr_result"": ""这个小吃起源于哪个市？"", ""start_time"": 8.646, ""end_time"": 11.046}]"
doubao_delicacy_video-ssthzbv,doubao_delicacy_video-ssthzbv34048,['| 我特别喜欢吃用椰子做的东西，这个5包零食你会推荐我买哪一包？ |  | 这个东西在我国的主要产区是哪个省呀？'],1,1,"[{""asr_result"": ""我特别喜欢吃用椰子做的东西，这个 5 包零食，你会推荐我买哪一包？"", ""start_time"": 1.0, ""end_time"": 5.928}, {""asr_result"": ""这个东西在我国的主要产区是哪个省呀？"", ""start_time"": 6.928, ""end_time"": 10.013}]"
doubao_delicacy_video-zhangrui,doubao_delicacy_video-zhangrui02,['| 这家店是卖什么的呀？ |  | 可丽饼是起源于哪个国家呢？'],1,1,"[{""asr_result"": ""这家店是卖什么的呀？"", ""start_time"": 1.0, ""end_time"": 2.68}, {""asr_result"": ""可丽饼是起源于哪个国家呢？"", ""start_time"": 3.68, ""end_time"": 6.12}]"
doubao_exhibition_of_cultural_relics_video-dbksj,doubao_exhibition_of_cultural_relics_video-dbksj005,['| 这是越王勾践剑吗 |  | 那你介绍一下这把剑的来历吧 |  | 诶，这是什么文物 |  | 里面还有人物，看起来很精致，它是用了什么铸造工艺啊'],1,1,"[{""asr_result"": ""这是越王勾践剑吗？"", ""start_time"": 1.0, ""end_time"": 2.747}, {""asr_result"": ""那你介绍一下这把剑的来历吧。"", ""start_time"": 3.747, ""end_time"": 6.046}, {""asr_result"": ""哎，这是什么文物？"", ""start_time"": 7.047, ""end_time"": 8.873}, {""asr_result"": ""里面还有人物，看起来很精致。它是用了什么铸造工艺啊？"", ""start_time"": 9.873, ""end_time"": 14.95}]"
